video_id,video_title,channel_name,full_transcript,video_description
Y45DvFuO7e0,We Built A Town,Beast Philanthropy,Just 4 days ago this secluded town in Just 4 days ago this secluded town in the middle of nowhere looked like this and because this town is located in this and because this town is located in the middle of the Jungle in Guatemala an the middle of the Jungle in Guatemala an the middle of the Jungle in Guatemala an area that experiences extreme tropical area that experiences extreme tropical area that experiences extreme tropical storms in the summer many of these small storms in the summer many of these small storms in the summer many of these small houses cannot withstand these brutal houses cannot withstand these brutal houses cannot withstand these brutal conditions forcing the residents to conditions forcing the residents to conditions forcing the residents to constantly rebuild their homes in order constantly rebuild their homes in order constantly rebuild their homes in order to protect their to protect their to protect their families however Guatemala City a 4-Hour families however Guatemala City a 4-Hour families however Guatemala City a 4-Hour car rideway is in STK contrast to this car rideway is in STK contrast to this car rideway is in STK contrast to this.,"Thank you to Dragon City for sponsoring this video so we could build this community in Guatemala. Download Dragon City by via this link https://dragoncity.onelink.me/DDHl/philanthropyweek or scan the QR code, get a special FREE Starter Pack with 15,000 Food, 30,000 Gold and 10 Gems and take part in the Beast Philanthropy week events! We could not undertake projects of this scope and scale without the help of our incredible partners, Techo. Please support them so they can continue their amazing work. https://support-techo.funraise.org/ The soundtracks from this video are available on Spotify and, just like the channel, every penny we earn will be put back into the projects we do. (https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB) Follow us so we can help more people together: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/campaign/rebuilding-baphumelele Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/profile.php?id=100084586484118 Spotify: https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored Edited by: Dan Mace ( @DanMace )"
pZ-MpxDZr9I,We Gave Every Family in a Village a Full Year's Salary,Beast Philanthropy,"this is $11,000 in cash and if you this is $11,000 in cash and if you suddenly came across this kind of money suddenly came across this kind of money suddenly came across this kind of money no strings detached what would you spend no strings detached what would you spend no strings detached what would you spend it on they are put on display so that we it on they are put on display so that we it on they are put on display so that we can choose the clothing we need and want well for hundreds of thousands of want well for hundreds of thousands of people in rural Uganda this money would people in rural Uganda this money would people in rural Uganda this money would be used differently most of these people be used differently most of these people be used differently most of these people live off of as little as1 or $2 a day live off of as little as1 or $2 a day live off of as little as1 or $2 a day meaning getting an education meaning getting an education meaning getting an education starting a business receiving adequate starting a.","Help send life-changing cash to the next Ugandan village at http://GiveDirectly.org/beast or by clicking ‘Donate’ above. We’re proud to have helped over 200 families, but there’s plenty more need – so we’re teaming up again to deliver around $1,000 to each of their neighbors in another village just a mile away. Give now and the money will go to more Ugandans in need. Learn more about GiveDirectly’s work at their YouTube page: @givedirectly Filmed and Edited by: Dan Mace ( https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Spotify: https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
XmtiNajqbnI,We Schooled Hundreds of Teachers,Beast Philanthropy,imagine a Utopia you could attend that imagine a Utopia you could attend that could train you to be as successful as could train you to be as successful as could train you to be as successful as you'd want in anything you can dream of you'd want in anything you can dream of you'd want in anything you can dream of and on top of that having the ability to and on top of that having the ability to and on top of that having the ability to give that gift to someone else well you give that gift to someone else well you give that gift to someone else well you don't have to imagine because we found a don't have to imagine because we found a don't have to imagine because we found a nonprofit school in Atlanta that can nonprofit school in Atlanta that can nonprofit school in Atlanta that can make this dream a reality the kids sing make this dream a reality the kids sing make this dream a reality the kids sing and dance in class are sorted into and dance in class are sorted into and dance in class are sorted into.,"Chegg sponsored this video so we can help teachers across the country engage with their students to uncover and encourage their full potential. Check them out at https://che.gg/49TycEy. #sponsored https://www.chegg.org/ is the impact, advocacy, and research arm of Chegg, addressing issues facing the modern student in school and beyond, such as mental health, food insecurity, and access to education for learners everywhere. Thank you Chegg for your incredible support, and for all you do to give back. The Ron Clark Academy is a highly acclaimed non-profit middle school with a vision to transform classrooms around the world. Its transformative methods and techniques have been embraced by more than 100,000 superintendents, district level administrators, and teachers. Click the link to learn more about our school, join our mailing list and donate to our efforts. https://edu.ronclarkacademy.com/ So many organizations contributed so generously to this incredible project. We could not have done this without them. Stand Together is a philanthropic community. They help America’s boldest changemakers tackle the root causes of our country’s biggest problems. Sign up to receive their stories, ideas, and advice that you can use to make a bigger difference. https://bit.ly/3QcqSg0 Unlock your future with one of ten $10,000 scholarships! Jim Keyes and Beast Philanthropy are teaming up to make dreams a reality worldwide. For instructions visit https://educationisfreedombook.com/, download the book, share your video with #educationisfreedombook video, and tag @jkeyesauthor (Instagram, TikTok, YouTube, Facebook or X). The future is in your hands! Victra, Verizon’s largest authorized dealer, not only supported this project, but they have been supporting our food bank too. Thank you for your ongoing support. https://victra.com/beast-philanthropy/ Filmed and Edited by: Dan Mace ( https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
VGvj6bj4Sog,Changing the Lives of 600 Strangers,Beast Philanthropy,in just the USA over 150 million people in just the USA over 150 million people have limited Transportation that's have limited Transportation that's have limited Transportation that's almost half the population and in even almost half the population and in even almost half the population and in even poorer countries around the world lack poorer countries around the world lack poorer countries around the world lack of transportation is even higher a year of transportation is even higher a year of transportation is even higher a year ago when we found out about the shortage ago when we found out about the shortage ago when we found out about the shortage of sanitary drinking water in Kenya we of sanitary drinking water in Kenya we of sanitary drinking water in Kenya we distributed dozens of electric ebikes to distributed dozens of electric ebikes to distributed dozens of electric ebikes to water delivery men who used to push water delivery men who used to push water delivery men who used to push their heavily loaded bicycles over 10 Mi their heavily loaded bicycles over 10 Mi their heavily loaded bicycles over 10 Mi around the city just to make $7.,"Not only did Lectric donate $600,000 of eBikes for free, but they still sponsored this video so we can continue to help people around the world every day. They have provided so much support to us so show them tons of love. https://lectricebikes.com/ Thank you to our friends at Interfaith Refugee Ministry for the incredible work you do. https://helpingrefugees.org/ Please consider showing them some Beast Philanthropy love https://www.paypal.com/donate?token=Jjcn7OzylS30PYUFaMOp636dJq7L3KWz94yJuFtN_5dHAlujQqGrs_lMbl42Bq94_puPTqtPC2zEco8Z Follow us so we can help more people together: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/campaign/rebuilding-baphumelele Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/profile.php?id=100084586484118 Spotify: https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored Filmed and Edited by: Dan Mace (@DanMace)"
a6U6AobyWtw,Saving Endangered Animals From Extinction,Beast Philanthropy,there are only a handful of places left there are only a handful of places left on Earth where humans and animals live on Earth where humans and animals live on Earth where humans and animals live in complete Harmony in the heart of Africa in Kenya Harmony in the heart of Africa in Kenya lies the Masai lies the Masai lies the Masai Mara I came here one year ago while Mara I came here one year ago while Mara I came here one year ago while Building 100 Wells throughout Africa Building 100 Wells throughout Africa Building 100 Wells throughout Africa where I met the Masai tribe an ancient where I met the Masai tribe an ancient where I met the Masai tribe an ancient nomadic group that have preserved their nomadic group that have preserved their nomadic group that have preserved their culture and way of living for culture and way of living for culture and way of living for centuries but just like we see an other centuries but just like we see an other centuries but just like we see an other places across the globe greed and human places across the globe greed.,"This Maasai Mara Conservancy program, led by the Maasai people, has proven to be extremely successful. It provides an economic model that not only preserves the land, animals, and the Maasai way of life, but also offers the potential to significantly expand the protected areas. In total there are 24 conservancies that now work together under the Maasai Mara Conservancy. Only 7 had access to the tools and technology needed to track environmental conditions and generate carbon credits that can be sold to continue and expand this incredible program. We paid for an additional 7 power and weather stations, and committed to pay for 5 more, bringing the total to 19. Let's band together and raise the money to pay for the last five remaining conservancies together. We’re so close to getting something so important complete. Please click the Donate button, or visit this link to help save these animals, this land, and the Maasai people who live in harmony with the earth. https://www.beastphilanthropy.org/campaign/savingendangeredanimals-kenya This is our 6th project with GivePower (​​https://givepower.org/) and we have many more already underway. We seriously love these people. GivePower delivers solar powered solutions to developing regions across the planet. Show them lots of love for the incredible work they do across the planet. Filmed and Edited by: Dan Mace ( https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
kwW3d1jgTlM,Beast Games: Charity Edition,Beast Philanthropy,"I got five YouTube creators to compete I got five YouTube creators to compete against each other in this Albertson against each other in this Albertson against each other in this Albertson store. Each of them will earn points by store. Each of them will earn points by competing in seven challenges. And the competing in seven challenges. And the one who has the most points at the end one who has the most points at the end one who has the most points at the end of this video will win $200,000 for charity. Welcome to the first challenge. charity. Oh my gosh. While wearing these goggles Oh my gosh. While wearing these goggles that give you almost no visibility at that give you almost no visibility at that give you almost no visibility at all, each contestant must make it to the all, each contestant must make it to the all, each contestant must make it to the other side of the aisle by walking on other side of the aisle by.","Welcome to the Beast Philanthropy Charity Games where 5 YouTubers compete in high-stakes fun-filled challenges inside of an Albertsons grocery store. In this adrenaline-fuelled video their intellect, dexterity, and wit will be put to the test in a series of thrilling challenges. The winner could walk away with $200,000 USD in cash prizes to be donated to the charity of their choice. ​​ We would like to send a special thank you to all of the Participants and Sponsors that helped make this video possible: Content Creators: Kinigra Deon: https://www.youtube.com/@KinigraDeon Rebecca Zamola: https://www.youtube.com/@rebeccazamolo Sarah Grace: https://www.youtube.com/@TheSarahGrace David Rule: https://www.youtube.com/@davidmrule Patrick Zeinali: https://www.youtube.com/@patrickzeinali Brands & Sponsors: ALBERTSONS COMPANIES Instagram: https://www.instagram.com/albertsonscompanies CLIF BAR (MONDELEZ) Instagram: https://www.instagram.com/clifbar/ TRISCUIT (MONDELEZ) Instagram: https://www.instagram.com/triscuit/ HELLMANN’S Instagram: https://www.instagram.com/hellmannsmayonnaise/ ZOA ENERGY Instagram: https://www.instagram.com/zoaenergy/ SPARKLING ICE Instagram: https://www.instagram.com/sparklingice/ UTZ Instagram: https://www.instagram.com/utzsnacks/ FEASTABLES Instagram: https://www.instagram.com/feastables/ Thanks to Advantage Solutions, New Visual Media and Creative Misfits for your contribution to this project. New Visual Media: https://www.youtube.com/@newvisualmedia327 Creative Misfits: https://www.instagram.com/creativemisfits.studio Advantage Solutions: https://www.instagram.com/advantage_solutions/ Once again, THANK YOU to everyone watching our videos because by doing so you allow us to help even more people and charities around the world! Filmed and Edited by: Dan Mace (https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
XrWhDx9Zblo,"I Gave Away $2,700,000 of Free Clothes",Beast Philanthropy,every year over 92 million tons of every year over 92 million tons of clothing goes to waste 92 million that's clothing goes to waste 92 million that's clothing goes to waste 92 million that's equivalent to 500 million dare to close equivalent to 500 million dare to close equivalent to 500 million dare to close or 70 million school buses in weight or 70 million school buses in weight or 70 million school buses in weight or that's 563 football stadiums in size that's 563 football stadiums in size that's 563 football stadiums in size that just gets thrown into landfills that just gets thrown into landfills that just gets thrown into landfills drastically damaging the environment drastically damaging the environment drastically damaging the environment so on one side we have so much waste and so on one side we have so much waste and so on one side we have so much waste and on the other we have to people globally on the other we have to people globally on the other we have to people globally that just need a simple t-shirt that just need a simple t-shirt that just need a simple t-shirt which boils.,"https://lectricebikes.com Gigantic shout out to Lectric eBikes for sponsoring this video and many other Beast Philanthropy projects! We are so grateful for their amazing, ongoing support all around the world. Please go show them lots of love. #sponsored We also want to thank our donors for their incredible generosity: Champion: https://www.champion.com/ IG: @champion RidgeWallet: https://ridge.com/ IG: @ridgewallet Shoutout to our additional donors: DREAM, GeorgeNotFound Merchandise, Paul Cuffaro Brand, Emilstal, IT WAS WALPOLE How you can help: Help promote Hopi prosperity: http://www.beastphilanthropy.org/support-the-hopi-people/ 100% of your donation goes to the Hopi Relief Fund. https://hopirelief.org/ IG: @hopirelief We also want to acknowledge these outstanding organizations that helped us distribute all the the clothing: Give India: https://give.do/ IG: @give_india Share At Door Step: https://shareatdoorstep.com/ IG: @sadsindia Clothes Box Foundation: https://clothesboxfoundation.org/ IG: @clothesboxfoundation Boys and Girls Club of the Coastal Plain https://www.bgccp.com/ IG: @bgc_coastalplain Detroit Youth Association https://www.miclubs.org/ FB: https://www.facebook.com/metrodetroityouthclubs FILMED and EDITED by: Dan Mace ( https://www.youtube.com/@DanMace) For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
18xB7LFRv6E,We Brought Water To Kenya,Beast Philanthropy,in kindo lack of clean drinking water in kindo lack of clean drinking water forces locals to depend on desalination forces locals to depend on desalination forces locals to depend on desalination plants but limited access to these plants but limited access to these plants but limited access to these facilities often results in disease facilities often results in disease facilities often results in disease suffering and death suffering and death suffering and death the lack of Plumbing infrastructure the lack of Plumbing infrastructure the lack of Plumbing infrastructure means water is often transported by means water is often transported by means water is often transported by bicycles which is both slow and bicycles which is both slow and bicycles which is both slow and physically demanding because of steeper physically demanding because of steeper physically demanding because of steeper of potholes so Dan and Darren headed of potholes so Dan and Darren headed of potholes so Dan and Darren headed there immediately to tackle this problem there immediately to tackle this problem there immediately to tackle this problem by surprising the delivery men with by surprising the delivery men with by surprising the delivery men with their brand new.,"A lot of people are asking how the bikes will get charged. The givepower solar plant charges all the bikes for free. As part of this video, our amazing sponsor Lectric e-Bikes (https://lectricebikes.com/) has donated a thousand brand new electric bikes for us to give away. So if you, or someone you know is struggling because of lack of reliable transportation, please follow the instructions below to enter for a chance to get one completely free. #sponsored This giveaway is limited to people living in the continental USA. We love our international audience but shipping electric bikes around the world turns out to be really, really complicated. The entry form, including all terms and conditions, can be found here: https://lectricebikes.com/pages/beast-philanthropy-ebike-nomination Lectric has been an incredible partner and have supported most of the work we've done this year. Please show them tons of love and appreciation here: https://m.facebook.com/lectricebikes https://www.instagram.com/lectricebikes/ https://www.tiktok.com/@lectricebikes Thank you to https://givepower.org/ for everything you did to help us in Kenya and Haiti. Filmed and Edited by: Dan Mace (@DanMace ) Follow us for a limited time BOGO on karma: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/don... Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com ENTRY REQUIREMENTS: Must be 18 years or older to win. Must be a legal resident living in the continental United States (excluding territories and Hawaii) (the eBikes cannot ship internationally.) Must agree to comply at own expense with any license, insurance, or other costs that may be incurred. Must agree to additional terms and conditions which can be found at: https://lectricebikes.com/pages/beast-philanthropy-ebike-nomination NO PURCHASE, DONATION, OR PAYMENT OF ANY KIND IS NECESSARY TO ENTER OR WIN. A PURCHASE, DONATION, OR PAYMENT WILL NOT INCREASE YOUR CHANCES OF WINNING. Void where prohibited by law and outside the United States. Subject to all federal, state, and local laws, regulations, and ordinances. Entries will be accepted beginning on July 9, 2023 at 9:00 a.m. ET and end on October 31st, 2023 at 11:59 p.m. ET or when all bikes have been allocated (the “Entry Period”). Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
xi8A6qQbZ18,We Powered a Remote Island,Beast Philanthropy,this secluded Island in Colombia houses this secluded Island in Colombia houses over 250 people who struggle on a daily over 250 people who struggle on a daily over 250 people who struggle on a daily basis were getting water from their well basis were getting water from their well basis were getting water from their well preserving food and even basic preserving food and even basic preserving food and even basic communication with the outside world is communication with the outside world is communication with the outside world is impossible this leads to massive threats impossible this leads to massive threats impossible this leads to massive threats during emergencies limited opportunity during emergencies limited opportunity during emergencies limited opportunity for economic growth and the inability to for economic growth and the inability to for economic growth and the inability to learn from the internet learn from the internet learn from the internet their isolation is severely impacting their isolation is severely impacting their isolation is severely impacting their lives their lives their lives so this is exactly why sending Dan and so this is exactly why sending Dan and so this is exactly why sending Dan and Darren there.,"Lectric eBikes sponsored yet another video, enabling us once again to make the world a better place. This incredible company is committed to giving back in a big way. Go support them, so they can continue to support the work we do. https://lectricebikes.com/ #sponsored Also, this project would not have been possible without huge contributions from these two amazing organizations: https://betterearth.solar/ https://givepower.org/ Filmed and Edited by: Dan Mace ( https://www.youtube.com/@DanMace) Follow us for a limited time BOGO on karma: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
idtvY5lN314,We're Giving Away $30 Million in Free Food,Beast Philanthropy,what if I told you that this card alone what if I told you that this card alone has saved over 3 million people from has saved over 3 million people from has saved over 3 million people from malnutrition let me explain 241 million malnutrition let me explain 241 million malnutrition let me explain 241 million tons of food is produced in the USA tons of food is produced in the USA tons of food is produced in the USA every year and what is frightening is every year and what is frightening is every year and what is frightening is that more than onethird of it goes to that more than onethird of it goes to that more than onethird of it goes to waste this means that 150 billion waste this means that 150 billion waste this means that 150 billion potential meals are being thrown into potential meals are being thrown into potential meals are being thrown into landfills while 44 million Americans landfills while 44 million Americans landfills while 44 million Americans live with limited access to food and live with limited access to food and live with limited access to food and what's puzzling.,"Thank you to our partner @Ibotta for sponsoring this project, which will help provide equitable access to food for communities in need. Ibotta is taking it one step further – they want to give your family a free meal this Thanksgiving too. Download the Ibotta app to get 100% cash back on turkey and all the essential sides for your holiday dinner. Plus, earn cash back everywhere you shop with the Ibotta app. Download now: https://ibotta.onelink.me/iUfE/z3o7tqs4 #ad #IbottaPartner #IbottaThanksgiving (Terms and conditions below) Setting up this operation was very complex and expensive. A huge thank you to the Robin Hood Foundation (https://www.robinhood.org/) for generously helping us to launch this program. We ❤️ you. Sharing Excess is an official partner of Beast Philanthropy. Learn more to get involved at: Website: https://www.sharingexcess.com/ Instagram: https://www.instagram.com/sharingexcess/ YouTube: https://www.youtube.com/@sharingexcess Food waste statistics provided by ReFED, the global leader in food waste research. Visit their website to learn more. https://refed.org/ Many of you have commented on the music in the videos. Did you know that ​⁠​⁠ @DanMace scores every note in every video with his amazing crew? Now you can enjoy this music on Spotify and, just like the channel, every penny we earn will be put back into the projects we do. (https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB) Follow us so we can help more people together: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/profile.php?id=100084586484118 Spotify: https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored Ibotta offer available while supplies last. Qualifying Products and MSRPs may vary. Must be 18 years of age or older, and a US resident. Requires purchase of Qualifying Products and completed redemptions to get full cash back amount. Check Ibotta to see if the offers are still available. Redemption must be made within 7 days of purchase. Subject to full terms, available here: https://bit.ly/48DcK7d. Filmed and Edited by: @DanMace"
NHXFQSlXNa4,We Saved an Orphanage,Beast Philanthropy,there are 153 million orphans globally there are 153 million orphans globally and a huge portion of them don't even and a huge portion of them don't even and a huge portion of them don't even have access to electricity water or have access to electricity water or have access to electricity water or toilets and as a part of our mission to toilets and as a part of our mission to toilets and as a part of our mission to make the world a better place we will be make the world a better place we will be make the world a better place we will be supporting orphanages all around the supporting orphanages all around the supporting orphanages all around the world we're kicking off this mission in world we're kicking off this mission in world we're kicking off this mission in kailucha South Africa where we found an kailucha South Africa where we found an kailucha South Africa where we found an orphanage that needs our help orphanage that needs our help orphanage that needs our help immediately or faces the chance of immediately or faces the chance of immediately or faces the chance of getting shut.,"Huge shoutout to Lectric eBikes for sponsoring this video so we could rebuild the orphanage. Give them a visit here and show them some love for being amazing people. https://lectricebikes.com/ Please help us support Mama Rosie and the kids at the orphanage for years to come by clicking the donate button or donating on our website. https://www.beastphilanthropy.org/donate/ You can also buy some merch that was designed by the kids themselves. 100% of our profits from these sales will be used to support the ongoing operations of the orphanage. https://shopbeastphilanthropy.com/ Also, shoutout to Dan Mace for directing this video. Dan is an incredible film maker and has joined us as a part of the Beast Philanthropy family. Give him a subscribe. https://www.youtube.com/@DanMace For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
wOGD9zfqEkk,Giving 10 Kids Supercars,Beast Philanthropy,at least once in our lives we have felt at least once in our lives we have felt out of place with those around us but out of place with those around us but out of place with those around us but for some being different from others is for some being different from others is for some being different from others is a NeverEnding reality people with a NeverEnding reality people with a NeverEnding reality people with intellectual and developmental intellectual and developmental intellectual and developmental disabilities such as autism and down disabilities such as autism and down disabilities such as autism and down syndrome experience life with a unique syndrome experience life with a unique syndrome experience life with a unique perspective and are often made to feel perspective and are often made to feel perspective and are often made to feel left out by Society although they may be left out by Society although they may be left out by Society although they may be seen as different by others these people seen as different by others these people seen as different by others these people are still human beings yet many of them are still human.,"The Dream Ride Experience initiative run by the Hometown Foundation is a weekend-long event that brings families from around the world together, creating a safe space for members of the intellectual and developmental disabilities community. This weekend event and year-round movement highlights their determination and willingness to persevere, overcome challenges, and shatter stereotypes. The Dream Ride Experience advocates for inclusion and building friendships amongst not only the Dream Riders, but also with the participants and attendees. We’d like to extend a huge congratulations to the Dream Ride team who raised over 7 million dollars during their last event weekend and purchased 250 acres of land that will be used to build a legacy property. This property will be a safe space for those with intellectual and developmental disabilities, animal welfare and many other individuals in need. If you would like to support a future Dream Rider or donate money towards this incredible event please visit: https://dreamride.org/donate And if you’d like to REV up your support even further and look good while doing so, head over to https://shopbeastphilanthropy.com/ to grab our limited-edition Dream Ride T-shirt, as seen in the film! The ""This Car Starts With A Dream"" tee celebrates inclusion, empowerment, and the incredible work of the Dream Ride initiative—and as always, 100% of the proceeds go toward furthering our mission! We also want to thank you, our audience, for watching these videos because by doing so you allow us to continue supporting organizations and initiatives like these which helps make the world a better place! Filmed and Edited by: Dan Mace (https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
3fKTFq-0_IY,"Giving 20,000 Shoes To Kids In Africa",Beast Philanthropy,for hundreds of thousands of kids in for hundreds of thousands of kids in South Africa the only thing standing South Africa the only thing standing South Africa the only thing standing between them and an education is a between them and an education is a between them and an education is a simple pair of shoes let me explain simple pair of shoes let me explain simple pair of shoes let me explain because of the extreme poverty in rural because of the extreme poverty in rural because of the extreme poverty in rural towns walking to school Barefoot is the towns walking to school Barefoot is the towns walking to school Barefoot is the only option which means they have to only option which means they have to only option which means they have to walk for miles over horse terrain broken walk for miles over horse terrain broken walk for miles over horse terrain broken glass and contaminated water but before tax but before tax Problem by donating 20 000 pairs of Problem by donating 20 000 pairs of Problem by donating 20 000 pairs of shoes we flew to Johannesburg South shoes we flew to Johannesburg.,"Massive thanks to Lectric eBikes for sponsoring this video so we could give away 20,000 pairs of shoes. Lectric eBikes have come on board to help us create massive change around the world. Give them a visit and show them some love for being such incredible people. https://lectricebikes.com/ And a huge shoutout to our friend Yeezy Busta (https://www.youtube.com/@YeezyBusta) who sold part of his personal collection to pay for thousands more pairs of shoes for kids in need. Go check out the awesome video he just put up on his channel (https://www.youtube.com/watch?v=1HYFd5BKah4 ). And finally, a very special thanks to Barefoot No More in South Africa. They are on a mission to bring school shoes to the hundreds of thousands of kids in South Africa who have none. Please consider supporting this awesome charity (https://www.barefootnomore.com/ ). FILMED & EDITED BY by: Dan Mace ( https://www.youtube.com/@DanMace) For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
